seed,result,endReason,finalScore,finalCoins,turns,turnWhenGridHalf,turnWhenGridFull,noActionTurns
mc-balance-0,loss,bankruptcy,2.11375,-0.4862500000000004,9,,,0
mc-balance-1,win,score_threshold,148.552302140625,119.75230214062498,12,7,12,0
mc-balance-2,win,score_threshold,153.17402284374998,124.83402284374998,11,8,,0
mc-balance-3,win,score_threshold,127.9291024375,97.3391024375,16,8,13,0
mc-balance-4,loss,bankruptcy,2.099999999999999,-1,14,,,0
mc-balance-5,win,score_threshold,130.07719375,108.23719374999999,9,5,,0
mc-balance-6,win,score_threshold,124.56199131249997,107.97199131249997,14,9,14,0
mc-balance-7,loss,reputation_collapse,-0.32060625000000087,0.3793937499999993,3,,,0
mc-balance-8,loss,reputation_collapse,4.938062499999999,5.8380624999999995,2,,,0
mc-balance-9,win,score_threshold,144.22594624999996,128.20594624999995,11,7,,0
mc-balance-10,win,all_challenges,112.033815203125,71.693815203125,12,7,12,0
mc-balance-11,win,score_threshold,142.36485165625,123.20485165625001,10,6,,0
mc-balance-12,win,score_threshold,145.0578880625,122.6078880625,19,11,17,0
mc-balance-13,win,score_threshold,122.43333390625,105.58333390625,10,6,,0
mc-balance-14,win,score_threshold,154.6924803125,147.7324803125,11,7,,0
mc-balance-15,win,score_threshold,159.76776481250002,130.6577648125,12,7,12,0
mc-balance-16,win,score_threshold,133.08980640625,114.98980640625,13,7,12,0
mc-balance-17,loss,bankruptcy,1.2432499999999997,-1.1067500000000003,4,,,0
mc-balance-18,win,score_threshold,181.14977624999997,159.31977624999996,11,7,,0
mc-balance-19,win,score_threshold,140.13366939062502,118.10366939062502,13,7,12,0
mc-balance-20,win,score_threshold,146.49490156250002,114.39490156250002,13,6,11,0
mc-balance-21,loss,bankruptcy,0,-1.2999999999999998,2,,,0
mc-balance-22,win,score_threshold,167.66396671874998,136.54396671874997,10,7,,0
mc-balance-23,win,score_threshold,126.07186781249999,110.39186781249998,8,5,,0
mc-balance-24,win,score_threshold,137.43628546875,106.26628546874998,8,6,,0
mc-balance-25,win,score_threshold,124.97016468749999,92.24016468749998,12,7,12,0
mc-balance-26,win,score_threshold,140.4300778125,120.3000778125,10,6,,0
mc-balance-27,win,score_threshold,123.21282631249998,103.95282631249998,10,7,,0
mc-balance-28,win,score_threshold,153.8994955,121.93949549999999,22,16,21,0
mc-balance-29,win,score_threshold,136.712121,127.76212100000001,12,6,11,0
mc-balance-30,win,score_threshold,140.5634675,133.1534675,11,8,,0
mc-balance-31,win,score_threshold,131.86553393749995,107.86553393749996,12,7,12,0
mc-balance-32,win,score_threshold,137.39941003125,119.74941003125,10,6,,0
mc-balance-33,loss,reputation_collapse,9,9,2,,,0
mc-balance-34,win,score_threshold,129.36225984375,108.22225984374998,11,6,11,0
mc-balance-35,win,score_threshold,122.38193953124998,105.01193953124998,15,10,15,0
mc-balance-36,win,score_threshold,123.25778046874997,107.23778046874997,12,8,,0
mc-balance-37,win,score_threshold,135.76137640625,108.05137640625,16,9,15,0
mc-balance-38,win,score_threshold,145.49628890625004,125.28628890625004,11,6,11,0
mc-balance-39,win,score_threshold,139.96124203125,113.04124203125001,10,6,,0
mc-balance-40,win,score_threshold,123.07169212500001,95.43169212500001,11,6,11,0
mc-balance-41,win,score_threshold,155.83316749999997,123.38316749999998,17,12,17,0
mc-balance-42,win,score_threshold,142.4240265625,135.68402656249998,9,5,,0
